팀,이름,생일,루타,볼넷,사구,안타,타수,타점,홈런,희비,타율,출루율,장타율,OPS
KIA,김선빈,1989-12-18,146,43,1,115,394,40,3,4,0.2918781725888325,0.39849624060150374,0.37055837563451777,0.7690546162360214
KIA,김주찬,1981-03-25,126,17,5,101,337,32,3,3,0.2997032640949555,0.3565217391304348,0.37388724035608306,0.7304089794865178
KIA,나지완,1985-05-19,47,19,3,24,129,17,6,2,0.18604651162790697,0.34328358208955223,0.3643410852713178,0.70762466736087
KIA,류승현,1997-07-01,48,9,4,38,150,14,0,0,0.25333333333333335,0.33116883116883117,0.32,0.6511688311688312
KIA,박찬호,1995-06-05,160,26,4,131,504,49,2,2,0.25992063492063494,0.3156862745098039,0.31746031746031744,0.6331465919701214
KIA,신범수,1998-01-25,23,7,1,12,57,7,2,0,0.21052631578947367,0.3448275862068966,0.40350877192982454,0.7483363581367211
KIA,안치홍,1990-07-02,149,40,1,114,362,49,5,5,0.3149171270718232,0.421195652173913,0.4116022099447514,0.8327978621186645
KIA,유민상,1989-04-13,81,24,3,51,175,26,5,0,0.2914285714285714,0.43820224719101125,0.46285714285714286,0.901059390048154
KIA,이우성,1994-07-17,55,12,2,33,151,22,6,2,0.2185430463576159,0.3032258064516129,0.36423841059602646,0.6674642170476394
KIA,이창진,1991-03-04,153,57,4,108,400,48,6,5,0.27,0.4132029339853301,0.3825,0.7957029339853301
KIA,최형우,1983-12-16,221,85,7,137,456,86,17,7,0.30043859649122806,0.48723404255319147,0.48464912280701755,0.971883165360209
KIA,터커,1990-07-06,171,38,3,111,357,50,9,1,0.31092436974789917,0.42105263157894735,0.4789915966386555,0.9000442282176029
KIA,한승택,1994-06-21,76,27,1,56,251,27,3,2,0.22310756972111553,0.33070866141732286,0.30278884462151395,0.6334975060388368
KIA,황윤호,1993-09-22,49,5,0,37,123,9,1,1,0.3008130081300813,0.3387096774193548,0.3983739837398374,0.7370836611591922
KT,강민국,1992-01-10,26,6,0,24,88,7,0,0,0.2727272727272727,0.3409090909090909,0.29545454545454547,0.6363636363636364
KT,강백호,1999-07-29,217,61,2,147,438,65,13,4,0.3356164383561644,0.47297297297297297,0.4954337899543379,0.9684067629273109
KT,김민혁,1995-11-21,143,32,13,131,466,32,0,5,0.2811158798283262,0.36363636363636365,0.30686695278969955,0.6705033164260632
KT,로하스,1990-05-24,276,49,3,168,521,104,24,5,0.32245681381957775,0.4158790170132325,0.5297504798464492,0.9456294968596817
KT,문상철,1991-04-06,19,4,2,12,60,7,2,2,0.2,0.28125,0.31666666666666665,0.5979166666666667
KT,박경수,1984-03-31,158,55,4,104,421,65,10,6,0.24703087885985747,0.37819025522041766,0.3752969121140142,0.7534871673344319
KT,박승욱,1992-12-04,72,14,2,52,223,15,3,0,0.23318385650224216,0.3022222222222222,0.32286995515695066,0.6250921773791729
KT,송민섭,1991-08-02,18,6,3,16,53,4,0,1,0.3018867924528302,0.43859649122807015,0.33962264150943394,0.7782191327375041
KT,심우준,1995-04-28,133,23,6,109,391,28,3,1,0.27877237851662406,0.34673366834170855,0.340153452685422,0.6868871210271306
